Name,EventName,Result,Rank,Note,Seconds,Date,City,MeetName,PoolName,LengthMeters
Bai Ou,50m Butterfly,0:38.91,3,,38.91,2025-07-26,Lampang,Lampang Kindergarten Championship 5th time,Khlangrat Swimming Pool,25
Bai Ou,25m Backstroke,0:19.06,3,,19.06,2025-07-26,Lampang,Lampang Kindergarten Championship 5th time,Khlangrat Swimming Pool,25
